,工事分野,工事の種類,工種,工法・形式名,災害分類,事故分類,天候,事故発生年・月・時間,事故発生場所（都道府県）,事故に至る経緯と事故の状況,事故の要因（背景も含む）,事故発生後の対策
1413,砂防・地滑り,土木一式,砂防工事,砂防ダム工,労働災害,取扱運搬等,晴,2022年10月13時,徳島県,土のうに入れて運搬した骨材をヤードに排出する作業において、準備のために被災者が上部蓋シートを開け、その後吊り上げ作業に備え待避しようとした所、不注意により負傷した。,作業の際の足下の安全確認が不十分であった。土のうの吊り紐に足が引っかかる状態であった。,日頃から安全確認を意識する。土のうの吊り紐を、固定具を使用し引っかからない状態とする。作業開始の際は足下に注意するよう、作業安全指示を行う。作業日朝のＫＹ活動において、足下注意の指示を行う。毎月実施の安全訓練時に、足下注意の内容を盛り込む。
1414,道路,鋼構造物,鋼橋上部工事,"鋼桁橋,箱桁橋工",労働災害,工具等取り扱い,晴,2022年10月13時,栃木県,横断歩道橋階段部の吊金具切断作業において、滑り落ちそうになったピースカッターを押さえた際に、回転スイッチを握ってしまい、回転したカッターの刃が接触し負傷した。,作業手順書が無かった。機械の構造や特性について作業員への伝達が不十分であった。危険予知訓練が不十分であった。作業の慣れから機械操作を誤る油断があった。機械が滑り出した際に冷静な対応が出来なかった。機械の持ち方に問題があった。機械の電磁石電源が切れていてもカッターが回転する構造になっていた。,施工計画書に方法や手順、安全注意事項を追記する。類似機械も含め作業手順等を整理し、今後の施工方法を改善する。作業前の朝礼で作業手順や機械の特性等の指導を徹底する。ピースカッター自体の構造を見直し、安全に作業できるようメーカーに要望した。
1415,電気,電気,電気工事,建築電気設備工,労働災害,土砂崩壊,晴,2022年10月16時,長野県,発電所床付け箇所で、BHにて、床付け箇所から中段まで土砂を搬出していた際に、BHを旋回したところ、岩塊が落下し、人力で床均しをしていた被災者へ当たり負傷した。,重機作業を確認する合図担当者がいない。上下作業を行ってしまった。重機オペレータの技能が低かった。落石防護が未設置であった。,監視員を配置し、上下作業が発生しないよう監視を徹底する。床均し作業中は上段のバックホウの稼働禁止の徹底。上段への土砂かきあげ作業中は床均し作業禁止の徹底。下段法肩に落石防護柵を設置し、万が一の落石に備える。臨時の安全業育を実施。作業計画書を再確認し徹底する。重機の作業計画書を具体的・詳細な内容とする。
1416,農業農村整備,土木一式,水路・管路工事,ボックスカルバート・管路工,労働災害,飛来、落下,,2022年10月13時,北海道,仮設排水管撤去作業において、切断した排水管をバックホウにより吊り上げるためのスリングベルトを取り付ける際、スリングベルトを取り付けやすくするため、地面に置かれていた排水管をバックホウのバケットにて浮かせたところ、排水管のバランスが崩れ落下し、作業者に接触した。,パイプ等転がりやすい吊荷への玉掛け作業は、吊荷を台木の上に置き歯止めを設置してから行うべきであるが、今回の事故現場では、吊荷となるパイプが掘削断面中腹にあり、台木設置が困難であった。適期施工を急ぐ気持ち、任意仮設施設撤去という安易な考えがあった。塩ビ管は軽いという思い込みがあった。,パイプ等転がりやすい吊荷への玉掛け作業は、吊荷を台木の上に置き、歯止めを設置してから行うという、基本を忠実に守る。作業手順書に記載がない作業は行わせない。また、手順書の作業が困難な場合は、必ず作業手順の変更について元請職員及び職長との打ち合わせを行い、安全性を十分に考慮した作業手順を決定する。緊急安全大会を実施し、再発防止に努める。
1417,農業農村整備,土木一式,農業農村整備工事,農業農村整備工,労働災害,その他,晴,2022年10月14時,北海道,被災者は、通行止めしていた際に使用したバリケード等安全施設の撤去集積状況を確認するため、道路を移動中、一般車両が通行したため避けようと後ろ向きで下がった際、踏み外し、側溝天端に打ちつけた。,被災者は土木作業員未経験者で入場からも日が浅く危険箇所への認識が低く、回避行動も後ろ向きに行ったことで被災することとなった。,全作業員へ工事箇所に側溝があることを再周知するとともに、作業箇所に近い開口部及び転落の恐れがある箇所に注意喚起のためカラーコーン等を設置する。土木未経験者への教育において、新規入場者教育資料のほかに、現場にあったヒヤリ・ハットを利用して危険箇所の認識や回避方法を指導し教育の効果を高める。
1418,建築,管,浄化槽設備等工事,浄化槽設備等工（浄化槽設備等工、その他管工）,労働災害,建設機械等の転倒、下敷、接触、衝突等,晴,2022年10月11時,山口県,仮設水槽の周りをダストで埋める作業において、重機のバケットからワイヤーで繋がれたクランプを矢板に固定し引き抜く際、ワイヤーとクランプの間に挟まれた。,作業人員及び作業分担を途中で変えた。手元作業員が重機オペに背を向けて作業した。合図の確認ができていなかった。,安全日報を作成して作業分担及び手順を確認する。併せて重機オペレーターとの合図の確認を行う。作業員の追加、変更等の予定がある場合は事前に周知しておく。作業員全員ＫＹ活動を行う。
1419,建築,建築一式,建築一式工事,建築一式工（１）,労働災害,取扱運搬等,晴,2022年10月14時,沖縄県,壁面に横に立て掛けた資材の搬入写真を撮るために、手前のボード材をずらそうとした際、ボード材が倒れ被災者に接触した。,単独で作業を行っていた。ボード材取扱いの認識不足。,管理写真を撮影する上で、種類の違う資材は分別して仮置きする。広い場所で仮置きを行う。資材の重量等事前に知識を持ち、人員を確保し単独作業を行わない。
1420,道路,,,,第三者災害,自動車の転倒、下敷、接触、衝突等,,2022年10月0時,京都府,,,
1421,建築,建築一式,建築一式工事,建築一式工（１）,労働災害,倒壊,,2022年10月16時,青森県,天井吊ボルトアンカー打込みの作業中、バランスを崩し脚立と共に床に平積みされたボードの上に転倒した。,脚立にまたがって作業していた。,改善処置として再発防止検討会、安全教育を実施。
1422,造園（余暇施設含む）,造園,造園工事（余暇施設を含む）,造園工（余暇施設を含む）,第三者災害,その他,晴,2022年10月14時,愛媛県,路肩規制で草刈りを行ってる際、現場を通過した一般車両に破損を及ぼした。,草刈り機による飛び石の可能性については認識しつつも、飛び石の飛翔方向までを考えた作業及び養生ネットの配置になっていなかった。,実作業前に現地ロケーションと同じ様な環境において、全作業員立会のもと試験作業を行い小石等の飛翔方向を認知する。日常のミーティングにおいて、小石等の飛翔方向の認知を勘案し、どのような立ち位置や進行方向で草刈り機や飛散防止ネットを使用するか、また草刈り機のタイプ変更を明示し、作業員の意識を向上させる。養生ネットをコの字形に変更。アタッチメントを上下刃往復式に変更。飛翔防止のカバーを装着
1423,砂防・地滑り,土木一式,砂防工事,砂防ダム工,労働災害,飛来、落下,晴,2022年10月14時,熊本県,砂防ソイルセメントの作業において、被災者は、片付けを行うためにコンクリートパネルの間に入り作業していたところ、背面の仮置きしていたコンクリートパネルが滑り落ち負傷した。,勾配のある場所にコンクリートパネルを仮置きした為、不安定な状態だった。被災者が不安定な状態と分からず仮置きしてあるコンクリートパネルの間に入って作業を行った。,勾配がある場所に仮置する場合は、敷材で高さを調整し水平に仮置する。コンクリートパネルの間は人が入って作業するスペースを設けない。安全巡視において「仮置資材が不安定でないか」チェックする。
1424,農業農村整備,土木一式,農業農村整備工事,農業農村整備工,第三者災害,その他,晴,2022年10月9時,北海道,管水路改修に伴う掘削作業中に掘削法面が崩れて水道管空気弁の保護管が転倒し、埋設されていた水道管本管が破損し漏水した。,凍上抑制層等から保護管へ経年的に見えないみずみちが生じ、目視で確認できない土砂の緩みが発生していたことが要因と推察される。,掘削箇所の近接部に保護管等がある場合は、先行して上部からのつぼ堀りにより保護管の撤去を行う。つぼ堀りにあたっては、管の周りを均等に掘削していき、保護管の傾倒や地山法面等の亀裂や湧水等がないことを確認しながら施工し、管の転倒防止を図る。上記について、作業前に作業員へ作業手順書等により周知徹底する。
1425,道路,土木一式,水路・管路工事,ボックスカルバート・管路工,労働災害,自動車の転倒、下敷、接触、衝突等,晴,2022年10月16時,富山県,資材置き場にて、AT車の為に自走してしまったダンプと、前方の建設機械との衝突を防ごうと手を出したところ、ダンプと建設機械に挟まれた。,過信と油断から脱出作業を他者に連絡せず一人で行ってしまった。ダンプが破損させてはならないという焦りがあった。,安全教育内で車両系建設機械の用途外使用を禁止する。トラブルが起きた際は速やかに報告相談をする。上記について社内作業スタッフに徹底するよう指導した。
1426,河川,維持修繕,維持修繕工事,維持修繕工,労働災害,建設機械等の転倒、下敷、接触、衝突等,晴,2022年10月11時,大阪府,道路際樹木の伐採において、バックホウで作業の補助をしていた際、樹木が伐採作業者側に倒れてきた為、バケットで倒れる向きを変えようとアームを伸ばした所、反動でバックホウのバランスが崩れ、バケットが衝突した。,道路際での伐採作業手順書が作られておらず、作業手順を的確に指導、指示できていなかった。また、そのことによりバックホウを指定外用途で使用してしまったことが主たる事故要因である。,作業手順書を作成し、全作業員、ガードマン参加の再発防止協議会を開催し周知徹底する。現場視察による現場内の安全点検を密に行ない、安全意識の高揚を促す。
1427,河川,土木一式,築堤工事,築堤工,労働災害,その他,その他,2022年10月13時,北海道,被災者が通路法面から躓き転倒した。,通路法面に昇降施設が無かった。,作業通路の整備として、法面箇所に昇降階段を設置。また、渡り箇所の幅を広くし、手摺を設置。朝礼等で転倒災害に関しての注意喚起を促し、転倒事故防止に努める。
1428,道路,維持修繕,維持修繕工事,維持修繕工,第三者災害,工具等取り扱い,晴,2022年10月14時,山梨県,橋面の調整コンクリートの撤去作業で人力にて斫り作業を行っていた際、飛散防止ネットが供用車線に倒れ、通行車両が飛散防止ネットを避けようとして、橋面の地覆に車両のホイールが接触した。また、飛散防止ネットにて斫りの養生作業中、斫ったコンクリート破片が飛散防止ネットの防護範囲をはずれ、車両を損傷させた。,作業員が斫り作業に集中してしまい、自立していた飛散防止ネットを支えていなかった。飛散防止ネットの設置位置、設置方法等がルール化されていなかった。当該現場特有のリスク抽出が不十分だった。,斫り作業時は各ブレーカごとに飛散防止ネットを配置し、斫り作業と飛散防止ネットの離隔を近くするとともに、飛散防止ネットを使用する際は必ず持って作業する事を周知徹底し、作業安全指示書にて明確にする。作業手順書・作業安全指示書・安全教育の追加決定事項の明記と周知：作業手順書、作業安全指示書に飛散防止ネットの設置位置、設置方法等の追加決定事項を明記し、安全教育の場で作業員に周知する。再発防止のための安全教育及び復習：上記項目を踏まえて新規入場者教育、安全教育に盛り込み、工事実施日のKY活動においても作業員全員に周知および復習する。事故の再発防止を確実なものとするため、これまでの飛散防止ネットの構を四方を囲った飛散防止ネットに変更する。
1429,河川,土木一式,その他土木一式工事,その他土木一式工,労働災害,建設機械等の転倒、下敷、接触、衝突等,晴,2022年10月16時,栃木県,伐採木の片付けや伐採の補助を行っていた際、作業可能な位置まで蔓を近づけるためにワイヤーを結び、バックホウで蔓を引っ張っていたところ、重機が安定を欠いて横転した。,現場代理人不在での作業だった。,所内安全パトロールの実施。
1430,道路,土木一式,その他土木一式工事,その他土木一式工,第三者災害,取扱運搬等,晴,2022年10月19時,栃木県,パワーゲート車が現場事務所から道路へ出たところ、荷台に横倒しに積んだランマーが左折するタイミングで車道上に落下し、走行して来た後続の一般車が、ランマーの上に乗り上げ損傷した。,運転手が切下げ端部の縁石に乗り上げ、車体が傾いた時、左に急ハンドルを切ったため。ランマーが荷台に固定されていなかった。,車両運転手へ朝礼、KY活動で安全運転について再周知する。切り下げ両端にカラーコーンを設置。荷台に積載する資機材をベルトで固定。車両運転手へ車両搭乗前の積荷状態の確認を促す。出発前に元請社員が積荷の状態を確認。現場事務所出入口に交通誘導員を配置。現場事務所ゲートに照明灯を増設。
1431,道路,土木一式,その他土木一式工事,その他土木一式工,第三者災害,その他,晴,2022年11月14時,茨城県,道路掘削作業中、誤って塩ビ管内部の線に損傷を与えてしまった。及び予備管を撤去してしまった。,埋設管の調査不足。埋設管は掘削断面の下に移設済みで、断面内にある管は死に管だと思った。,原則全ての工事について支障物件等に関するチェックリストを用いて、課長等を含む複数の職員と現場代理人で現場の再点検を行う。
1432,造園（余暇施設含む）,造園,造園工事（余暇施設を含む）,造園工（余暇施設を含む）,労働災害,その他,,2022年11月16時,宮崎県,,,
1433,道路,舗装,アスファルト舗装工事,アスファルト舗装工,労働災害,建設機械等の転倒、下敷、接触、衝突等,晴,2022年11月8時,鹿児島県,舗装工事に於いて、バックホウで整地作業中に、被災者がバックホウのキャタピラーに轢かれた。,要因として、限られた作業範囲内に於いて、オペレーター及び被災者の周囲の確認不足、重機の作業範囲内での並行作業、両者の声掛けなどが、再発防止対策会議に於いて反省点としてあげられた。,重機のオペレーターに後方確認を徹底させる。重機の作業範囲内に作業員を立ち入らせない。重機と作業員の見張り役の確認を徹底させる。重機のオペレーター，作業員，見張り役の声かけを徹底させる。
1434,道路,土木一式,ＰＣ構造物工事,ＰＣ構造物工,労働災害,工具等取り扱い,,2022年11月14時,熊本県,,,ディスクグラインダーによる切断作業中の跳ね返りによるケガの危険性は高い為、保護カバー及びサイドハンドル付き、かつ手を離せば可動が止まるパドルスイッチ式のディスグラインダーを使用する。工具が接触する可能性の高い箇所への保護具の見直しを行い、作業に適した保護具を使用する。作業中に発生するコンクリート殻は邪魔にならない箇所へ搬出を行い、作業足場を確保して作業する。狭小部で作業スペースの確保が困難な箇所である為、出来る限りハンドブレーカーで取壊しを行い、残存する鉄線においては、ボルトカッター等で切断を行い、作業スペースを最大限確保する。適宜、作業状況及び状態を確認しながら、気持ちを落ち着かせるよう声掛けを適時行う。
1435,道路,,,,労働災害,自動車の転倒、下敷、接触、衝突等,,2022年11月12時,宮崎県,,,
1436,建築,建築一式,建築一式工事,建築一式工（１）,労働災害,墜落,晴,2022年11月14時,宮崎県,機械室の鉄骨を塗装する作業において、片面の上塗り作業が終了し、次の面を塗るため、脚立に乗り移ろうとした際に、バランスを崩して脚立と一緒に転倒した。,脚立適正利用の注意喚起と日々の指導を怠った。作業床を確保して、塗装作業が出来るような工程調整を怠った。,脚立作業時の注意事項、正しい使用方法についての指導を行った。着工前に現場を確認し、作業床が確保できるか、工事に支障がないかの確認の徹底を行った。
1437,河川,土木一式,樋門・樋管工事,樋門・樋管工,労働災害,墜落,晴,2022年11月14時,大分県,河川内に土のうを積み土砂を搬入し仮設道路を作る作業において、水中へ潜水士にて大型土のうを据付ける際に、吊り直そうと水中へ潜った潜水士が被災した。,土のうが滑り落ちていたため、土のうの据え付け方と土のうの性質に要因があったと考えられる。,安全面を考慮しながら河川内に投入した土砂及び土のうの撤去作業を行った。
1438,河川,土木一式,護岸工事,護岸工,労働災害,飛来、落下,晴,2022年11月11時,愛知県,間知石積込時のバックホウが旋回した際に、バケットから石が落下しﾀﾞﾝﾌﾟの運転手が被災した。,運転手が席を離れ重機の停止を確認しずに作業範囲に入った。ヘルメットを着用していなかった。監視員を置かずに作業を行った。,原則運転手に座席を離れさせない。やむを得ない場合は監督員に声をかけ、完全に停止したことを確認してから離れる。監視員が離れる場合は重機を停止させバケットが着地してから離れることとする。ヘルメット着用厳守を再度周知する。全体を見渡せ、合図を送れる箇所に監視員を配置する。合図方法は笛・旗を使用する。
1439,砂防・地滑り,とび・土工・コンクリート,その他のとび・土工・コンクリート工事（その他のとび、コンクリート等工事）,その他のとび･土工･コンクリート工,第三者災害,建設機械等の転倒、下敷、接触、衝突等,晴,2022年11月13時,青森県,敷板撤去時、BHロングアームが高圧電線に接触。,BHにて敷板撤去時、高圧電線が低かったにも関わらず油断し作業を行った。誘導員を設置し行っている中、軽く接触したがそれを軽視し作業を継続した。,高圧電線に保護カバーを装着する。KY活動を実施し、意識向上を図る。
1440,道路,舗装,セメント・コンクリート舗装工事,連続鉄筋コンクリート舗装工,第三者災害,自動車の転倒、下敷、接触、衝突等,,2022年11月16時,福井県,,,
1441,道路,土木一式,コンクリート構造物工事,橋梁下部工(橋台､橋脚),第三者災害,その他,,2022年11月22時,京都府,仮設工-鋼矢板打設作業において、施工に先立って、ダンプからラフタークレーンにより機材の荷下ろしをした際、上空の架空線と接触した。,現地確認によって、架空線の確認、周知を行ったが、オペレーターが合図の確認、架空線の確認を怠った。引き込み線について管理者との事前協議が出来ておらず、架空線の明示等の対策が出来ていなかったことが事故の原因。,
1442,河川,土木一式,護岸工事,護岸工,労働災害,取扱運搬等,曇り,2022年11月11時,大分県,コンクリートブロックの玉掛け作業において、被災者が専用金具を取り付けやすくするため、コンクリートブロックを一人で起こした際に負傷した。,製品メーカー指定の専用吊り金具を使用するコンクリートブロックで、寝そべるか膝をつかないと吊り金具の取付が困難だったため、コンクリートブロックを起こした事による事故。,KY活動の周知、単独作業の禁止、作業手順の周知、作業員の声掛け合い。掲示物による注意喚起、ヒヤリハットの共有、指差点呼の徹底。
1443,道路,維持修繕,維持修繕工事,維持修繕工,もらい事故,その他,晴,2022年11月13時,北海道,車道部雨水桝蓋の取替作業中、停車している作業車に乗用車が突っ込み路上で作業していた作業員に接触した。,乗用車運転手の前方確認不注意。,
1444,造園（余暇施設含む）,造園,造園工事（余暇施設を含む）,造園工（余暇施設を含む）,労働災害,その他,,2022年11月14時,宮崎県,,,
1445,河川,土木一式,護岸工事,護岸工,労働災害,工具等取り扱い,晴,2022年11月10時,石川県,卓上丸のこを使用中、合板の支えが悪く誤って負傷した。,卓上丸のこは年数もたち古く、安全カバーもなかった為。,卓上丸のこ盤の使用停止。事故内容及び是正措置について、会社内での安全教育。労働基準監督署へ命令書に関する是正報告。
1446,河川,土木一式,トンネル工事,ＮＡＴＭ、矢板トンネル、ＴＢＭ,労働災害,工具等取り扱い,晴,2022年11月16時,高知県,ポンプ車の配管を洗う際に、ビクトリックをハンマーでたたいていたところ、目測を誤り空振りし受傷した。,ダンプ荷台の狭小部作業。作業手順書に配管接続順序の明記が無かった。配管内のコンクリートが詰まる恐れがあり気持ちに焦りがあった。,経験の浅い作業員には、コンクリート硬化にて配管閉塞が起こる恐れがある場合は、ビクトリック締付に従事させないようにし、ハンマーを使用する際には、声掛けを実施し、慌てず叩く箇所を目視確認してから行うようにする。
1447,農業農村整備,土木一式,農業農村整備工事,農業農村整備工,第三者災害,建設機械等の転倒、下敷、接触、衝突等,晴,2022年11月10時,北海道,バックホウが建物に向かって左旋回した際に架空線を切断した。,のぼり旗やケーブルピンチ等の注意喚起、簡易ゲートなど安全対策がとられていなかった。誤った記載のまま、当日のＫＹ活動を実施した。作業計画書に遵守した施工になっていなかった。作業手順書でバックホウを解体場所へ移動する際の誘導が手順書に遵守していない。また、架空線接触への配慮がなされていない。作業計画から当日のＫＹ活動まで安全管理への意識が希薄となっていた。,門型ゲート、架空線注意警戒旗及びケーブルピンチ設置などの基本的な対策を徹底する。作業前に作業計画を現場で確認した後に作業を開始する。また、作業計画書の遵守をより確実なものとするため、施工箇所へのWebカメラの設置や本社安全担当者の再確認を実施する。
1448,砂防・地滑り,土木一式,護岸工事,護岸工,労働災害,墜落,晴,2022年11月10時,大分県,土のうを設置中に、坂道を下っていたところ、転石につまづいた。,足元をよく見ていなかった。,今回の事故を踏まえ、安全教育を行うとともに、安全靴の着用等により対策を講じた。
1449,道路,土木一式,その他土木一式工事,その他土木一式工,労働災害,建設機械等の転倒、下敷、接触、衝突等,,2022年11月11時,青森県,,,
1450,道路,土木一式,その他土木一式工事,その他土木一式工,労働災害,建設機械等の転倒、下敷、接触、衝突等,,2022年11月11時,青森県,,,
1451,道路,土木一式,その他土木一式工事,その他土木一式工,労働災害,建設機械等の転倒、下敷、接触、衝突等,晴,2022年11月11時,青森県,H形鋼をクレーン仕様バックホウにてトラックの荷台から取り下ろす際、H形鋼吊クランプがクレーン側の吊フックから外れて被災者にぶつかり負傷した。,クレーンオペレーターが玉掛作業者の合図をきちんと確認せずに吊り上げた。玉掛作業者がフックの外れ止めがロックされていることを確認していなかった。玉掛作業者が吊荷の傾きの下方側に立っていた。オペレーターと玉掛作業者は作業に慣れていたため、お互いに油断があった。油断を引き締めるための指導教育が不足していた。,
1452,道路,舗装,アスファルト舗装工事,アスファルト舗装工,労働災害,工具等取り扱い,晴,2022年11月8時,高知県,既設横断防止柵の引き抜き作業において、バックホウを移動しようとアームを手前に引いたところ、支柱と支柱金具の間に食い込み引っ掛かったワイヤーがバケットに引っ張られる形になり、これを見た作業員が引っ掛かったワイヤーを外そうしたところ、ワイヤーと支柱金具の間に挟まれた。,当日の作業前ミーティングにおいて、既設防護柵撤去作業の作業手順、車両系建設機械作業計画書・指示書、危険予知活動表を明示しているが、形式的な作業ミーティングだったため作業員に周知徹底されておらず今回の事故に至った。,
1453,砂防・地滑り,土木一式,砂防工事,砂防ダム工,労働災害,建設機械等の転倒、下敷、接触、衝突等,晴,2022年11月14時,広島県,着手前測量のため、バックホウと人力によって土地を水平に均しながら、通路を確保する作業中に、バックホウが後方に仰向けで倒れ、下方へ横転した。,被災者は、畑崩落地南側作業範囲を超えて進んでおり、当該作業で立ち入る必要がない畑崩落地傾斜部分で横転している。,建設機械の転落防止措置を徹底する。危険個所が目視で確認できるよう明確に表示する。作業計画，作業方法を見直す。研修の充実。切土土工や伐木伐採が伴うパイロット道の切り開き等，特殊な知識や技術が必要とされる作業において，工事責任者の経験が浅い場合は，習熟したオペレ－タ－，もしくは指導員の下での作業とする。重機に乗車したままでの目視ではなく、降車して，目視で作業継続可否について判断する。
1454,道路,,,,労働災害,その他,,2022年11月13時,兵庫県,,,
1455,機械,機械器具設備,機械器具設置工事,施工設備工,労働災害,墜落,晴,2022年11月15時,宮城県,天井配管施工中、立ち馬上で移動する際に足を踏み外し立ち馬から床下に転落し負傷した。,休憩時間前という事もあり切り良く作業を終わらせたいという気持ちの焦りがあった事により、立ち馬上で移動する際に一旦目線を切るという当たり前の行動を行わなかったからと思われる。それと、当現場のルールとして立ち馬に感知バー及び手すりの設置を義務付けていなかったことも要因と考えられる。,立馬に補助手すりまたは感知バーを設置する仕様とする。あわせて高所の作業床上で作業する場合に限り、吊ボルトに取付ける「ねじクランプ」を全作業員に配布し、使用することにする。全協力業者と社員を対象に、労働災害事故再発防止周知会を実施し、事故概要の説明・事故再発防止対策の説明・その他墜落制止用器具の取り扱いについての説明、全協力業者作業員一人ひとりの安全意識が向上するよう周知徹底を行う。
1456,河川,土木一式,護岸工事,護岸工,労働災害,墜落,雨,2022年11月16時,山形県,被災者が護岸下の川へ梯子で降りた所、途中で梯子の足元がすべり転落した。,現場作業完了による気のゆるみで危険意識が欠如していた、及び梯子は使用目的でたて掛けられていたわけではなかったが、被災者が使用したため。,
1457,道路,,,,第三者災害,その他,,2022年11月0時,長崎県,規制車を側道合流車線の路肩へ移動させて片づけすることを現場で判断し、移動させた所、一般車両と規制車が接触事故を起こした。,霧が発生し始めていたことから作業手順を変更した際に適切な誘導員配置となっていなかったこと、規制車移動時の運転者目視確認不足と誘導員からの合図を勘違いしたことによる規制車両の誤発進が要因。,
1458,道路,土木一式,その他土木一式工事,その他土木一式工,労働災害,飛来、落下,曇り,2022年11月15時,宮崎県,法面伐採を中断し、路面上に伐木の集積を行い、集積された丸太の枝をチェンソーにて切っていたところ、丸太がバランスを崩し被災者に落下した。,安全靴の履き替えを怠り法面作業用足袋を使用したまま、枝切り作業を行った。また、集積した丸太の荷姿の確認を怠った。,作業内容の確認を行い予想される危険要因を確認し、声かけ、安全保安具の装着、情報の共有を徹底することとした。
1459,道路,鋼構造物,鋼橋上部工事,"鋼桁橋,箱桁橋工",労働災害,墜落,晴,2022年11月14時,奈良県,橋脚下部工検査路取付の際に支障となる脚回り足場を解体している時に、被災者が足場上に乗った状態で単クランプを誤って解体し、足場が崩壊し墜落した。,高所作業車を使用して足場材を小バラシしながら解体する計画であったが、元請や一次下請職長に相談なくクレーンを使用して一括で足場を吊上げて地上で小バラシする方法に変更した。被災者が乗っている足場を固定していたクランプを自ら誤って緩めてしまった。足場の組立て等作業主任者が法定の職務を行っていなかった。,保護具の適正使用。作業手順どおりに作業を行っているか、監視員を配置。高所作業はできうる限り高所作業車を使用する。KYM後に保護具の健全度を確認。工事再開前に安全大会を開催。店社パトロールの頻度を増やす。
1460,道路,維持修繕,維持修繕工事,維持修繕工,労働災害,自動車の転倒、下敷、接触、衝突等,曇り,2022年11月11時,群馬県,除草作業の為、規制車を停車させて作業員が降車した所、エンジンキーを切ったにもかかわらず規制車が動き出し、それを停止させようとしたが引きずられ、他の車両との間に挟まれた。,規制車を斜路へ駐車し、ﾊﾝﾄﾞﾙを路肩方向に切っていなかった。サイドブレーキの引き忘れ。ブレーキロックの特性を忘れていて、エンジンを停止させてしまった。規制車を降りた後、窓越しにエンジンを停止してしまった。,駐車の際は、ハンドルを路肩側に切ることを徹底する。サイドブレーキを引くことを確実に行うため、注意喚起を促す記事物を車内に設置する。規制車の補助制動装置機能を正しく認識し、サイドブレーキと併用して使用するよう徹底する。サイドブレーキ引き忘れ注意喚起音声システムを自社持ち及び年間リースの車両に導入する。降車前のエンジン停止を徹底する。事前に駐車場所の計画を立て、朝礼時に周知し安全な駐車場所への駐車を徹底する。ブレーキロック装置補助制動機能の特性を再発防止協議会時にマニュアルを使用して説明及び実車体験を行い、周知する。作業手順書を作成して車両駐車時の乗降りの手順を再確認し、操作方法及び手順の厳守徹底を行う。
1461,電気,機械器具設備,機械器具設置工事,トンネル非常用設備工,もらい事故,自動車の転倒、下敷、接触、衝突等,晴,2022年11月15時,北海道,トンネル工事のため片側交互通行により規制している最中、誘導員が該当車両を静止し運転手と対話していたところ、運転手が車両を突然発進させ誘導員に接触し転倒させた。,運転手が車両を突然発進させたことが要因。,
1462,道路,舗装,アスファルト舗装工事,アスファルト舗装工,労働災害,取扱運搬等,,2022年11月23時,鹿児島県,,,
1463,砂防・地滑り,とび・土工・コンクリート,現場杭打等工事,現場打杭工,労働災害,墜落,晴,2022年11月16時,大分県,作業終了間際の片付け作業中、足場上にいたクレーン運転作業員がクレーンに乗り込むため、足場から降りる際に階段を踏み外し落下した。,危険軽視、不注意によって起こされたものと推測される。夕方にさしかかり少しうす暗かった。,安全教育を徹底するように指示。
1464,下水道,維持修繕,維持修繕工事,維持修繕工,労働災害,その他,曇り,2022年12月14時,静岡県,Vベルト交換作業において、被災者がVベルト再点検のためファンを停止した際、惰性で回転している機器を止めようとしたところプーリーとベルトの間に挟まれた。,本人の不注意。,回転している機器には絶対手を触れないことを安全教育にて周知徹底する。注意喚起シールを機器本体に貼付する。Vベルト交換作業は複数名で作業を行い軍手の着用を禁止する。
1465,道路,舗装,アスファルト舗装工事,アスファルト舗装工,労働災害,クレーン等の転倒、下敷、接触、衝突等,晴,2022年12月11時,茨城県,ユニックによる吊り作業時、ガードレール部材ビーム部の束を吊り上げた際、荷が振れて車両と接触しかけ負傷した,有資格者を配置しなかったことが主な原因である。その背景に、KY活動での資格の確認を怠り、作業適任者を選定しなかったことが挙げられる。,受注者へ安全対策を適切に行うよう、事務所所見を反映した指示書を作成し指導を行う。受注者から提出された再発防止対策が適切に実施されているかチェックリストを作成し、これをもって現地を確認し、指導・助言を行う。所内で情報を共有し、再発防止を図る。検査監等により抜き打ちでの現場確認を実施する。事務所内の全工事に有資格者の配置に係る指示書を作成する。
1466,河川,土木一式,樋門・樋管工事,樋門・樋管工,第三者災害,建設機械等の転倒、下敷、接触、衝突等,晴,2022年12月14時,高知県,バックホウで堤内側の盛土予定箇所の準備作業として整地を実施中に、仮設で架空により切り回しを行っている架空線をバックホウのアームにより誤って切断した。,安全標識がなかった。手順書記載の架空線に目印、保安設備無し。架空線があることは分かっていたが、道路の安全確保に気を取られBHの真上にある架空線を失念し旋回した。,事前に頭上注意の幟・看板・架空線への旗設置を行う。専属の監視員を配置する。
1467,建築,建築一式,その他建築工事,その他建築工,労働災害,墜落,晴,2022年12月16時,兵庫県,施設出入口の庇塗装作業において、外装塗装を行うにあたり、被災者の判断で足場のエンドストッパーを一時的に取り外し、施工を行っていた作業床ではない足場に入り施工を行った所、バランスを崩し落下した。,作業床ではない場所で作業を行っていた。,朝礼後のKY活動の時に現場管理者と作業員が作業前足場点検を徹底する。足場の組み換えを行う場合は、必ず報告するよう作業員に徹底する。注意喚起表示を行い、現場管理者と作業員に危険行動が生じないよう周知徹底する。同様の事故が想定される場所では必ず立ち馬及び脚立足場を使用する。今後、現場教育と社内教育を行い、本現場と他現場においても事故が起きないよう徹底する。足場での作業を行う際は、必ず安全帯を使用して作業を行う。
